Sec,RollNo,Dept,Aptitude_Score,Mock_Interview_Score,Problems_Solved,Hackathon_Count,Technical_Test_Score,Resume_Score,Projects_Count,Placement_Probabilities,Placement_Readiness
C,21EC4570,ME,76,66,30,8,41,52,1,49.58,Not Ready
C,21ME4571,EEE,97,62,300,7,79,82,1,71.48,Ready
D,21CS4572,IT,51,97,279,8,85,48,3,68.18,Not Ready
D,21EC4573,IT,53,40,482,0,76,84,0,57.68,Not Ready
B,21EE4574,CSE,61,94,139,6,48,72,4,59.46,Not Ready
A,21CS4575,IT,79,73,250,1,44,44,3,54.28,Not Ready
D,21EC4576,IT,49,59,57,3,54,64,6,45.13,Not Ready
A,21ME4577,IT,76,44,98,1,80,83,2,50.47,Not Ready
A,21CS4578,ME,85,56,93,2,88,54,6,56.27,Not Ready
C,21IT4579,ME,90,72,471,2,94,66,5,77.06,Ready
C,21EE4580,ME,83,54,499,3,59,92,7,72.78,Ready
A,21CS4581,IT,89,86,98,9,83,60,0,66.37,Not Ready
C,21CS4582,ECE,79,52,446,2,83,48,6,67.04,Not Ready
A,21CS4583,ECE,40,61,126,5,48,72,3,46.52,Not Ready
A,21CS4584,IT,71,83,177,8,69,61,4,64.83,Not Ready
C,21IT4585,ME,63,69,82,3,89,77,5,56.86,Not Ready
D,21CS4586,ME,85,65,331,0,94,40,2,62.59,Not Ready
A,21IT4587,EEE,85,55,136,4,50,50,2,51.19,Not Ready
D,21CS4588,IT,50,88,39,1,64,84,2,49.41,Not Ready
D,21CS4589,ME,71,69,44,9,78,86,3,60.93,Not Ready
C,21IT4590,IT,56,73,391,1,75,43,2,59.24,Not Ready
D,21CS4591,ME,84,55,34,0,43,59,5,44.64,Not Ready
D,21EC4592,CSE,90,72,200,4,91,80,0,66.05,Not Ready
D,21IT4593,CSE,53,64,479,7,69,40,5,67.04,Not Ready
D,21EE4594,CSE,98,49,189,4,89,79,7,66.59,Not Ready
A,21EC4595,IT,67,68,182,6,85,79,3,62.8,Not Ready
C,21CS4596,EEE,78,60,434,1,42,80,1,60.88,Not Ready
C,21CS4597,ME,74,66,412,5,89,64,4,71.73,Ready
C,21EE4598,ECE,51,44,428,7,91,88,3,67.45,Not Ready
A,21EC4599,CSE,45,53,391,7,85,54,7,64.76,Not Ready
A,21IT4600,IT,78,81,436,4,83,50,7,75.06,Ready
B,21EC4601,IT,96,60,343,2,93,62,2,68.32,Not Ready
A,21EE4602,CSE,45,96,357,7,63,68,5,68.86,Not Ready
A,21IT4603,IT,88,91,263,0,49,70,5,63.8,Not Ready
D,21IT4604,ME,96,88,43,9,86,40,5,67.54,Not Ready
A,21ME4605,IT,61,80,189,4,62,79,3,58.84,Not Ready
B,21CS4606,ECE,73,95,178,3,46,86,3,61.1,Not Ready
B,21IT4607,ECE,93,58,170,4,66,58,1,57.32,Not Ready
D,21IT4608,ECE,72,79,260,8,52,53,1,62.32,Not Ready
A,21ME4609,ME,89,85,419,5,85,54,3,76.59,Ready
A,21ME4610,ME,82,44,218,3,74,53,5,56.45,Not Ready
C,21IT4611,ECE,97,78,311,3,76,91,2,72.19,Ready
A,21EE4612,ME,73,82,475,7,74,86,7,81.07,Ready
D,21ME4613,IT,54,63,21,0,76,87,2,45.59,Not Ready
C,21EC4614,IT,80,54,346,5,83,78,2,67.14,Not Ready
A,21EE4615,CSE,98,62,499,6,98,98,1,83.08,Ready
C,21EC4616,CSE,64,48,327,1,78,96,6,61.53,Not Ready
B,21EC4617,CSE,54,44,365,4,90,72,2,60.15,Not Ready
D,21EE4618,ME,53,93,334,8,89,59,2,71.06,Ready
B,21IT4619,ECE,92,63,330,9,47,51,3,67.22,Not Ready
A,21CS4620,ME,58,47,403,9,56,46,0,59.12,Not Ready
B,21EC4621,ECE,57,94,442,9,61,51,3,73.01,Ready
B,21EE4622,CSE,77,63,25,0,87,59,7,52.32,Not Ready
C,21EC4623,CSE,48,49,10,0,84,68,4,41.7,Not Ready
D,21CS4624,EEE,66,50,111,9,56,44,3,51.32,Not Ready
D,21ME4625,EEE,58,74,119,7,60,96,1,57.39,Not Ready
B,21ME4626,IT,93,88,499,8,60,68,0,79.96,Ready
A,21ME4627,IT,66,66,420,5,51,79,1,64.38,Not Ready
A,21EC4628,EEE,79,93,178,0,63,82,7,63.55,Not Ready
B,21EC4629,IT,72,49,253,9,76,49,0,59.62,Not Ready
A,21EE4630,ECE,77,72,19,7,74,56,1,54.89,Not Ready
B,21IT4631,CSE,61,74,52,7,45,84,6,54.98,Not Ready
D,21CS4632,IT,47,88,77,2,80,59,0,49.98,Not Ready
A,21ME4633,ECE,79,49,398,3,72,70,6,66.07,Not Ready
C,21IT4634,CSE,78,72,400,7,43,42,6,67.4,Not Ready
B,21CS4635,EEE,57,80,416,2,97,62,4,69.29,Not Ready
A,21ME4636,CSE,63,42,266,9,90,54,3,61.42,Not Ready
C,21ME4637,EEE,93,72,318,0,53,81,6,65.52,Not Ready
D,21IT4638,EEE,99,87,313,2,97,97,7,80.35,Ready
B,21CS4639,ME,59,77,291,7,98,65,7,71.42,Ready
A,21EE4640,ME,76,43,233,0,93,43,2,52.62,Not Ready
D,21ME4641,ECE,48,40,389,0,70,82,5,54.99,Not Ready
B,21IT4642,CSE,49,70,108,9,50,75,4,54.62,Not Ready
C,21IT4643,IT,89,52,370,3,47,85,7,65.92,Not Ready
B,21EE4644,ME,73,47,181,9,73,59,1,57.72,Not Ready
D,21EE4645,IT,83,92,336,3,70,69,3,70.72,Ready
C,21IT4646,EEE,45,79,61,1,70,79,2,47.89,Not Ready
C,21IT4647,ECE,57,46,319,0,45,57,5,48.94,Not Ready
D,21EC4648,ECE,99,45,106,0,73,90,2,54.24,Not Ready
A,21CS4649,ME,92,82,183,7,72,90,4,71.42,Ready
C,21EE4650,ECE,55,89,190,3,55,76,3,57.12,Not Ready
C,21EE4651,CSE,72,83,222,1,98,63,4,64.38,Not Ready
A,21EE4652,EEE,95,95,341,6,89,44,5,78.52,Ready
C,21IT4653,CSE,50,43,136,6,74,58,7,51.32,Not Ready
A,21ME4654,ECE,50,74,427,6,63,86,5,69.05,Not Ready
D,21CS4655,IT,86,44,125,1,69,82,4,53.05,Not Ready
D,21IT4656,CSE,93,85,110,1,50,54,2,55.15,Not Ready
A,21CS4657,ME,77,89,309,5,41,45,4,63.71,Not Ready
C,21IT4658,ME,78,86,451,2,85,61,2,72.94,Ready
B,21EE4659,ME,56,74,263,0,75,76,6,59.12,Not Ready
C,21ME4660,ME,44,47,119,8,73,46,6,50.26,Not Ready
B,21EC4661,ECE,77,84,489,3,71,69,4,74.81,Ready
C,21IT4662,EEE,81,90,210,5,53,55,2,62.3,Not Ready
D,21IT4663,IT,94,70,151,6,42,52,3,58.22,Not Ready
A,21EE4664,EEE,81,41,316,9,77,82,0,65.79,Not Ready
C,21EC4665,IT,54,77,406,6,40,59,2,61.59,Not Ready
A,21EE4666,EEE,65,63,385,9,83,98,3,74.12,Ready
B,21IT4667,ME,77,94,146,1,63,44,0,54.89,Not Ready
C,21EE4668,ME,90,99,180,8,98,93,3,78.88,Ready
B,21CS4669,EEE,92,52,317,6,51,71,7,66.6,Not Ready
C,21CS4670,ME,78,43,304,7,94,50,7,66.84,Not Ready
A,21CS4671,EEE,88,44,306,2,59,66,0,56.09,Not Ready
A,21EC4672,EEE,67,44,105,7,79,72,3,54.33,Not Ready
C,21CS4673,ME,65,75,204,1,41,96,5,56.04,Not Ready
B,21ME4674,CSE,92,59,316,0,94,73,4,66.74,Not Ready
C,21EC4675,EEE,43,84,488,3,82,65,2,67.97,Not Ready
C,21EE4676,EEE,87,82,377,4,51,45,1,65.66,Not Ready
C,21EE4677,ME,91,98,317,9,47,46,6,74.88,Ready
B,21ME4678,ECE,64,47,466,8,94,54,6,72.09,Ready
D,21CS4679,CSE,56,41,219,7,62,41,1,49.18,Not Ready
C,21EE4680,EEE,65,75,465,8,59,73,0,70.75,Ready
D,21EE4681,ME,84,44,122,7,53,78,5,56.36,Not Ready
A,21EE4682,EEE,73,69,310,5,92,94,6,72.75,Ready
C,21EC4683,IT,92,91,353,4,99,76,1,77.79,Ready
C,21EE4684,ME,75,91,475,5,65,58,2,74,Ready
A,21ME4685,EEE,59,42,293,2,47,76,1,49.2,Not Ready
D,21EC4686,ME,99,91,116,4,62,63,0,62.24,Not Ready
C,21EC4687,IT,42,45,288,6,73,64,6,56.02,Not Ready
B,21EE4688,IT,97,90,330,4,40,59,3,68.38,Not Ready
D,21IT4689,ECE,52,48,120,3,53,48,6,44.3,Not Ready
D,21ME4690,ECE,90,94,100,2,96,42,5,64.53,Not Ready
C,21ME4691,ME,73,98,72,5,52,46,2,55.73,Not Ready
B,21ME4692,ECE,96,70,197,2,72,56,0,59.48,Not Ready
D,21EC4693,ECE,52,77,247,1,76,84,1,57.1,Not Ready
C,21EC4694,EEE,48,40,278,8,89,95,6,63.32,Not Ready
D,21EC4695,ME,99,79,266,5,42,41,7,66.02,Not Ready
C,21EC4696,CSE,62,87,371,1,67,91,6,68.54,Not Ready
C,21EC4697,IT,87,70,55,7,63,87,5,61.88,Not Ready
B,21IT4698,ME,88,98,5,7,51,47,3,58.63,Not Ready
A,21ME4699,EEE,49,76,182,7,99,54,4,62.03,Not Ready
D,21ME4700,ME,80,68,298,8,71,97,5,73,Ready
D,21EE4701,EEE,68,45,410,2,78,93,7,66.38,Not Ready
D,21ME4702,ECE,99,99,363,1,60,66,1,71.34,Ready
D,21IT4703,EEE,65,41,328,8,70,61,3,60.8,Not Ready
D,21EC4704,ME,70,84,54,0,89,66,7,57.28,Not Ready
D,21IT4705,ME,96,44,179,4,53,63,6,57.16,Not Ready
C,21EC4706,CSE,78,60,199,1,57,71,4,54.71,Not Ready
C,21EE4707,ECE,94,42,7,8,50,70,4,52.48,Not Ready
C,21EC4708,IT,43,41,206,5,87,51,1,48.82,Not Ready
A,21CS4709,IT,50,53,349,5,40,90,4,57.06,Not Ready
D,21CS4710,ME,49,77,460,5,99,44,7,72.23,Ready
C,21EC4711,IT,91,62,65,6,67,79,0,57.15,Not Ready
B,21CS4712,IT,96,83,247,9,91,52,2,74.78,Ready
D,21ME4713,ECE,69,72,134,7,41,74,5,57.24,Not Ready
D,21ME4714,EEE,87,67,455,0,63,81,1,67.18,Not Ready
A,21IT4715,CSE,44,54,300,6,76,82,7,61.58,Not Ready
B,21ME4716,IT,74,50,11,2,96,95,0,51.14,Not Ready
B,21EE4717,CSE,86,68,106,5,69,91,3,61.36,Not Ready
A,21EE4718,EEE,79,71,11,8,94,99,5,65.56,Not Ready
A,21IT4719,EEE,79,60,133,4,48,40,6,52.07,Not Ready
C,21CS4720,ME,74,97,331,4,78,62,4,71.84,Ready
A,21EE4721,ME,88,92,365,6,48,68,1,71.22,Ready
D,21ME4722,ME,48,52,102,3,51,87,1,44.06,Not Ready
B,21ME4723,IT,63,50,400,5,94,59,6,67.35,Not Ready
C,21EC4724,IT,83,88,443,6,72,51,4,76.32,Ready
A,21IT4725,EEE,66,63,53,2,94,54,5,52.54,Not Ready
B,21CS4726,ECE,85,45,483,7,79,96,0,73.77,Ready
A,21EC4727,EEE,99,61,80,8,76,82,4,65.3,Not Ready
C,21ME4728,ME,42,88,291,3,68,70,7,62.22,Not Ready
D,21IT4729,ME,79,79,432,6,60,43,0,68.18,Not Ready
B,21IT4730,CSE,70,59,215,8,78,44,3,60.37,Not Ready
A,21EE4731,ME,41,66,490,8,41,79,5,66.18,Not Ready
C,21ME4732,ECE,61,83,273,5,66,98,1,65.04,Not Ready
D,21ME4733,CSE,50,92,449,9,58,92,0,73.26,Ready
A,21EC4734,CSE,83,88,109,0,50,95,1,56.18,Not Ready
D,21ME4735,ECE,47,67,435,9,65,87,6,71.4,Ready
D,21ME4736,ECE,80,67,280,5,60,65,4,63.6,Not Ready
C,21CS4737,ECE,73,89,328,3,78,48,7,69.4,Not Ready
B,21IT4738,IT,41,95,478,7,42,84,5,71.15,Ready
B,21CS4739,ECE,81,53,53,9,83,41,3,56.35,Not Ready
A,21ME4740,ECE,50,47,22,5,54,68,3,42.05,Not Ready
B,21EC4741,EEE,74,50,226,6,61,68,3,57.67,Not Ready
A,21EE4742,CSE,66,64,370,0,58,45,4,56.5,Not Ready
A,21CS4743,ECE,50,55,40,0,62,70,6,42.65,Not Ready
B,21CS4744,IT,65,82,372,9,77,69,5,74.86,Ready
A,21EC4745,EEE,64,83,469,3,52,91,4,70.56,Ready
D,21ME4746,ECE,62,71,331,0,46,44,4,53.64,Not Ready
A,21EE4747,EEE,86,93,487,4,68,42,1,74.31,Ready
B,21CS4748,CSE,51,55,163,1,72,54,1,45.54,Not Ready
D,21EC4749,ECE,65,49,215,8,91,43,6,61.1,Not Ready
C,21CS4750,ME,68,75,27,9,40,40,0,48.68,Not Ready
A,21ME4751,CSE,73,84,159,7,57,94,1,63.34,Not Ready
A,21ME4752,ME,52,75,451,6,80,60,2,68.69,Not Ready
A,21CS4753,ME,76,97,185,8,48,67,0,63.9,Not Ready
B,21EE4754,CSE,93,74,442,0,75,40,4,68.83,Not Ready
D,21ME4755,IT,89,73,211,2,96,50,5,65.37,Not Ready
C,21IT4756,IT,87,57,103,4,76,61,3,56.3,Not Ready
B,21EE4757,ME,94,54,285,6,94,61,1,67.82,Not Ready
B,21ME4758,EEE,96,62,81,2,91,70,2,58.74,Not Ready
B,21EE4759,EEE,73,51,283,1,87,50,5,58.3,Not Ready
C,21IT4760,ECE,60,66,449,0,68,83,0,61.66,Not Ready
B,21CS4761,IT,63,67,102,0,48,48,7,46.46,Not Ready
B,21IT4762,CSE,74,75,422,3,70,81,6,72.03,Ready
B,21EE4763,EEE,46,77,468,4,89,60,1,67.3,Not Ready
C,21EC4764,ECE,99,87,430,0,57,74,5,73.48,Ready
C,21EC4765,CSE,69,93,496,7,59,72,0,75.29,Ready
C,21EE4766,ME,78,86,4,5,61,44,3,53.38,Not Ready
C,21EC4767,ME,65,83,176,3,52,50,5,55.56,Not Ready
B,21ME4768,IT,55,68,70,6,74,81,4,55.1,Not Ready
C,21EE4769,CSE,50,98,14,3,88,54,5,54.88,Not Ready
D,21ME4770,ECE,47,77,316,5,75,93,0,62.99,Not Ready
D,21EE4771,CSE,92,88,405,5,81,48,4,76.65,Ready
A,21IT4772,ECE,43,70,352,1,66,80,6,59.33,Not Ready
B,21EE4773,CSE,82,87,293,9,81,87,7,79.74,Ready
A,21EE4774,ME,44,45,169,5,69,72,4,49.61,Not Ready
C,21CS4775,EEE,95,81,141,6,66,95,3,68.12,Not Ready
A,21EC4776,ECE,72,82,475,4,40,49,4,67.2,Not Ready
B,21EC4777,ECE,69,46,169,0,85,74,0,49.91,Not Ready
B,21IT4778,EEE,76,76,232,7,71,51,2,63.68,Not Ready
D,21IT4779,ME,94,51,457,0,67,91,1,67.05,Not Ready
B,21IT4780,ME,90,77,255,9,45,90,1,68.97,Not Ready
A,21CS4781,ME,98,89,492,6,40,73,5,79.51,Ready
B,21IT4782,ECE,44,59,14,2,69,79,1,42.04,Not Ready
B,21EE4783,CSE,81,72,162,3,91,93,1,63.66,Not Ready
A,21EC4784,ECE,81,98,286,8,49,73,2,71.14,Ready
C,21ME4785,ECE,51,52,50,6,63,52,1,43.88,Not Ready
B,21EE4786,ECE,52,45,325,8,88,50,4,61.1,Not Ready
C,21EE4787,ECE,46,71,273,5,59,88,1,57.6,Not Ready
C,21CS4788,IT,65,97,38,7,87,91,0,63.07,Not Ready
B,21CS4789,ECE,55,66,108,6,47,44,5,49.1,Not Ready
A,21CS4790,ME,72,41,54,5,46,55,1,42.78,Not Ready
C,21EC4791,CSE,86,85,164,6,65,98,1,66.94,Not Ready
D,21IT4792,IT,62,67,359,6,96,57,3,68.13,Not Ready
A,21EC4793,ME,95,40,291,6,82,99,2,68.09,Not Ready
B,21EC4794,IT,40,96,82,0,98,60,6,54.93,Not Ready
B,21EC4795,ME,93,68,249,4,47,67,0,59.91,Not Ready
B,21EC4796,ME,83,67,388,9,40,85,0,69.02,Not Ready
B,21ME4797,ECE,49,92,30,8,99,40,4,58.75,Not Ready
B,21IT4798,ME,58,93,117,9,73,72,6,65.78,Not Ready
D,21EC4799,EEE,77,79,301,0,48,84,7,63.22,Not Ready
B,21EC4800,IT,85,99,361,5,40,66,7,73.21,Ready
A,21EC4801,ECE,43,43,303,5,92,73,2,56.67,Not Ready
B,21EC4802,CSE,66,79,57,3,87,44,6,55.48,Not Ready
D,21IT4803,ME,76,49,492,9,67,52,0,68.93,Not Ready
C,21ME4804,ME,48,82,476,5,91,91,1,73.42,Ready
C,21EE4805,ECE,58,80,103,0,97,72,0,53.47,Not Ready
B,21EE4806,EEE,70,93,369,1,80,41,1,65.08,Not Ready
D,21IT4807,IT,56,61,227,9,66,75,6,62.63,Not Ready
A,21CS4808,ME,84,55,144,1,79,87,6,58.86,Not Ready
B,21CS4809,EEE,80,93,58,0,98,72,3,60.7,Not Ready
B,21CS4810,CSE,79,84,174,4,73,88,0,63.31,Not Ready
B,21ME4811,ECE,85,69,264,9,45,99,3,68.89,Not Ready
B,21ME4812,CSE,92,53,134,1,40,91,5,53.59,Not Ready
A,21CS4813,EEE,93,77,307,2,99,91,7,76.6,Ready
D,21CS4814,ME,70,66,435,5,94,68,5,73.63,Ready
D,21EC4815,CSE,79,88,174,9,99,95,5,76.84,Ready
C,21EC4816,ME,50,48,58,0,60,57,3,38.5,Not Ready
C,21CS4817,CSE,83,60,17,2,43,90,6,50.48,Not Ready
C,21ME4818,ME,90,95,206,2,75,95,7,72.37,Ready
C,21ME4819,CSE,60,83,431,6,98,82,6,78.49,Ready
C,21CS4820,ME,74,91,50,2,89,77,3,59.92,Not Ready
C,21IT4821,ECE,81,45,349,0,94,80,0,61.26,Not Ready
A,21EC4822,ME,42,40,290,1,42,69,0,42.2,Not Ready
B,21IT4823,CSE,71,96,151,2,52,47,6,57.69,Not Ready
A,21ME4824,EEE,46,48,66,6,72,73,3,47.42,Not Ready
A,21IT4825,IT,47,83,389,8,84,86,4,73.26,Ready
A,21EE4826,EEE,72,86,355,8,46,41,1,65.42,Not Ready
D,21EE4827,IT,78,74,21,0,93,55,5,53.82,Not Ready
A,21ME4828,ME,77,82,90,2,92,44,4,58.1,Not Ready
D,21ME4829,CSE,84,75,374,1,76,93,7,72.84,Ready
A,21IT4830,CSE,44,96,202,4,90,80,2,62.83,Not Ready
A,21CS4831,CSE,93,65,118,1,72,61,3,56.1,Not Ready
D,21ME4832,CSE,89,72,51,7,96,85,4,66.64,Not Ready
B,21EC4833,ECE,63,91,30,6,82,94,0,59.7,Not Ready
A,21CS4834,ME,85,62,201,4,98,83,7,68.82,Not Ready
A,21EE4835,IT,77,75,233,1,60,60,2,56.97,Not Ready
C,21CS4836,EEE,64,97,126,0,78,49,1,54.46,Not Ready
C,21IT4837,IT,98,85,277,4,72,44,3,68.76,Not Ready
B,21ME4838,ME,70,98,51,3,51,86,3,56.76,Not Ready
D,21EC4839,EEE,92,46,24,3,61,66,0,47.31,Not Ready
A,21IT4840,IT,77,73,355,8,52,60,3,67.88,Not Ready
C,21ME4841,ME,42,94,15,8,46,98,2,53.75,Not Ready
A,21CS4842,ECE,68,56,244,8,84,82,7,67.74,Not Ready
C,21EE4843,ME,50,69,159,8,62,61,5,56.68,Not Ready
D,21ME4844,IT,47,54,466,4,51,99,4,62.89,Not Ready
D,21ME4845,IT,46,63,435,5,87,55,7,67.12,Not Ready
C,21EE4846,CSE,64,48,425,4,97,68,3,66.62,Not Ready
C,21IT4847,CSE,44,46,61,3,40,67,0,36.14,Not Ready
C,21ME4848,ECE,46,48,242,7,77,51,0,52.13,Not Ready
A,21CS4849,EEE,50,84,68,4,71,66,6,54.52,Not Ready
D,21EC4850,ME,42,97,495,1,85,61,3,69.32,Not Ready
B,21ME4851,CSE,65,64,225,8,88,99,6,69.65,Not Ready
C,21EC4852,ECE,90,47,311,8,80,43,0,64.14,Not Ready
C,21EE4853,EEE,68,59,147,4,66,45,3,51.56,Not Ready
B,21ME4854,ECE,72,50,177,1,52,82,7,52.86,Not Ready
A,21ME4855,IT,55,69,254,0,54,88,1,52.48,Not Ready
C,21EC4856,CSE,54,88,236,2,63,80,4,59.79,Not Ready
B,21EE4857,IT,41,43,443,2,59,58,1,51.8,Not Ready
A,21CS4858,ECE,52,61,395,6,62,99,3,65.47,Not Ready
A,21ME4859,IT,59,85,495,0,74,49,1,65.23,Not Ready
D,21CS4860,CSE,65,60,49,7,80,86,1,55.18,Not Ready
D,21IT4861,IT,53,95,109,0,72,62,0,50.96,Not Ready
A,21ME4862,ECE,43,51,386,9,82,91,1,65.26,Not Ready
A,21EC4863,EEE,83,63,279,6,52,97,0,63.86,Not Ready
A,21EE4864,EEE,54,91,438,1,57,90,4,67.57,Not Ready
C,21CS4865,IT,62,76,451,4,86,82,7,75.11,Ready
C,21IT4866,ME,82,88,99,5,89,83,2,65.86,Not Ready
A,21ME4867,EEE,91,44,21,5,55,70,3,49.96,Not Ready
B,21IT4868,CSE,71,64,58,1,53,81,5,49.5,Not Ready
A,21CS4869,IT,58,51,65,1,44,98,2,43.05,Not Ready
C,21EC4870,CSE,88,87,338,1,67,92,3,70.64,Ready
B,21EC4871,ME,45,50,84,1,97,85,4,48.91,Not Ready
C,21ME4872,CSE,51,92,207,0,68,69,2,55.23,Not Ready
C,21CS4873,IT,93,71,123,3,95,62,1,61.8,Not Ready
B,21ME4874,IT,43,86,355,9,77,88,0,69.35,Not Ready
A,21EE4875,EEE,98,62,89,5,40,47,4,53.76,Not Ready
A,21IT4876,CSE,91,62,278,8,71,96,1,70.6,Ready
C,21ME4877,ME,79,73,399,5,81,94,6,76.66,Ready
B,21IT4878,ME,52,54,247,9,43,57,7,56.61,Not Ready
B,21EE4879,CSE,47,51,335,5,89,95,5,63.98,Not Ready
C,21ME4880,EEE,96,69,66,1,73,86,4,58.69,Not Ready
B,21CS4881,IT,42,60,13,6,94,52,4,48.72,Not Ready
C,21EC4882,IT,81,44,272,1,76,50,0,53.28,Not Ready
B,21CS4883,EEE,97,94,257,7,70,42,5,73.31,Ready
A,21EE4884,IT,99,94,275,1,85,78,2,72.4,Ready
C,21ME4885,CSE,85,80,226,9,99,81,7,78.36,Ready
D,21IT4886,IT,81,44,336,9,75,90,3,69.56,Not Ready
B,21EE4887,IT,55,43,357,7,47,88,6,60.48,Not Ready
B,21ME4888,IT,65,93,375,7,97,77,5,78.98,Ready
D,21EC4889,EEE,96,75,325,8,71,86,0,74.45,Ready
B,21EC4890,CSE,96,67,381,3,53,49,1,64.32,Not Ready
C,21EE4891,ME,67,67,303,8,51,95,6,67.82,Not Ready
B,21IT4892,IT,64,59,380,5,83,43,7,65.92,Not Ready
B,21IT4893,ME,46,52,463,7,47,99,6,65.82,Not Ready
B,21CS4894,ECE,81,50,40,8,59,87,2,54.6,Not Ready
D,21EC4895,EEE,86,66,248,6,91,87,6,72.42,Ready
C,21EE4896,CSE,81,76,80,4,91,78,3,61.92,Not Ready
C,21ME4897,CSE,43,79,340,7,77,83,3,66.72,Not Ready
D,21IT4898,ECE,44,80,184,4,47,44,6,51.36,Not Ready
D,21EC4899,ECE,93,46,117,6,75,53,4,57.53,Not Ready
A,21EC4900,ME,56,61,149,7,41,66,7,53.48,Not Ready
C,21EE4901,ECE,60,79,341,3,90,87,7,71.02,Ready
C,21CS4902,ME,82,87,278,2,89,68,4,69.57,Not Ready
C,21IT4903,IT,86,69,31,1,82,46,5,53.26,Not Ready
A,21IT4904,IT,82,78,112,2,95,97,0,62.43,Not Ready
A,21EC4905,CSE,72,97,290,3,55,56,6,66,Not Ready
B,21CS4906,EEE,44,92,102,9,53,64,5,57.76,Not Ready
D,21CS4907,ECE,41,89,324,6,80,66,5,66.68,Not Ready
D,21CS4908,IT,59,54,490,2,65,92,6,66.9,Not Ready
C,21CS4909,CSE,66,51,420,2,57,79,5,61.78,Not Ready
B,21ME4910,EEE,57,43,401,7,55,52,4,58.99,Not Ready
B,21CS4911,CSE,53,40,324,7,56,69,6,57.61,Not Ready
B,21EE4912,ECE,80,78,394,0,43,83,4,64.61,Not Ready
C,21CS4913,ECE,64,71,113,6,62,92,3,57.9,Not Ready
C,21ME4914,EEE,85,82,247,9,76,96,6,77.03,Ready
A,21IT4915,ECE,57,42,22,4,46,76,6,42.93,Not Ready
D,21EC4916,IT,88,76,364,6,63,62,4,71.51,Ready
A,21CS4917,EEE,47,86,374,2,57,72,4,61.81,Not Ready
B,21CS4918,CSE,97,41,72,2,90,95,5,58.6,Not Ready
B,21IT4919,CSE,52,54,80,8,56,86,0,49.4,Not Ready
D,21EC4920,ECE,76,49,44,8,45,55,1,47.64,Not Ready
C,21ME4921,ME,48,89,451,5,97,97,7,79.07,Ready
A,21ME4922,CSE,58,64,241,1,66,72,3,54.02,Not Ready
D,21CS4923,ECE,54,72,340,1,65,68,5,59.48,Not Ready
B,21IT4924,ECE,96,52,78,9,99,46,5,64.3,Not Ready
B,21ME4925,ECE,89,59,76,8,83,93,4,64.89,Not Ready
D,21EC4926,CSE,45,88,488,1,63,91,4,68.17,Not Ready
A,21CS4927,EEE,98,46,415,0,93,65,2,67.1,Not Ready
C,21ME4928,ECE,46,62,331,7,94,71,3,64.92,Not Ready
B,21EE4929,IT,63,51,338,3,56,74,2,56.37,Not Ready
C,21CS4930,ECE,48,82,301,9,77,97,7,72.67,Ready
B,21CS4931,CSE,53,57,124,9,67,45,6,54.26,Not Ready
C,21CS4932,IT,60,46,479,7,92,84,2,70.81,Ready
B,21IT4933,EEE,79,80,442,5,96,61,0,74.98,Ready
B,21CS4934,ME,88,50,444,0,50,91,0,61.96,Not Ready
D,21ME4935,IT,51,42,293,6,68,62,7,57.1,Not Ready
B,21EE4936,CSE,65,56,359,0,75,86,4,60.91,Not Ready
C,21EE4937,EEE,92,71,60,3,71,91,1,58.38,Not Ready
A,21IT4938,EEE,53,47,478,7,97,43,7,69.34,Not Ready
D,21ME4939,ECE,41,53,368,2,76,64,7,57.7,Not Ready
C,21IT4940,ME,45,61,327,7,44,80,1,56.5,Not Ready
D,21IT4941,CSE,43,67,367,6,65,91,1,62.16,Not Ready
C,21CS4942,IT,56,89,472,1,94,42,7,71.55,Ready
D,21EC4943,ECE,86,53,105,7,60,44,1,53.02,Not Ready
C,21IT4944,ECE,98,49,245,6,44,43,7,60.48,Not Ready
B,21IT4945,ECE,72,99,289,3,62,67,3,66.64,Not Ready
D,21EE4946,EEE,60,81,279,0,72,78,4,60.46,Not Ready
B,21EC4947,EEE,83,70,43,0,68,82,4,53.22,Not Ready
D,21EC4948,CSE,84,49,477,2,73,75,7,70.5,Ready
D,21EE4949,IT,73,83,17,9,88,74,7,65.85,Not Ready
C,21EE4950,CSE,40,75,216,2,77,76,5,55.92,Not Ready
C,21IT4951,ECE,87,94,293,8,93,82,0,78.07,Ready
B,21EC4952,IT,85,93,357,1,42,69,4,66.58,Not Ready
D,21IT4953,IT,55,50,185,3,82,44,2,49.35,Not Ready
A,21CS4954,ECE,56,93,51,4,80,83,7,60.52,Not Ready
B,21ME4955,CSE,82,80,130,0,81,78,5,60.68,Not Ready
D,21CS4956,IT,42,49,428,5,43,68,7,57.95,Not Ready
D,21EE4957,CSE,56,98,76,6,93,66,1,61.02,Not Ready
D,21IT4958,ECE,60,75,247,3,47,82,7,59.5,Not Ready
B,21EE4959,CSE,77,88,268,4,53,98,0,65.47,Not Ready
C,21CS4960,IT,84,76,13,0,74,48,5,51.54,Not Ready
D,21CS4961,EEE,77,64,221,5,79,74,5,64.42,Not Ready
C,21EC4962,EEE,82,84,248,2,77,57,0,62.37,Not Ready
B,21EC4963,IT,41,87,92,1,74,93,3,52.56,Not Ready
C,21CS4964,CSE,78,46,367,0,82,71,3,60.76,Not Ready
